Iterasi,Jaringan,Format,Rendering,LCP,TBT,CLS,Payload
5,Fast 4G,SVG,CSR,2279.67,0.00,0.000,218.31
5,Fast 4G,GIF,SSR,2403.53,0.00,0.000,273.44
5,Fast 4G,GIF,CSR,2285.44,0.00,0.000,274.94
5,Slow 4G,Lottie,SSR,3528.06,496.90,0.000,1092.58
5,Slow 4G,Lottie,CSR,1596.78,207.88,0.000,1092.53
5,Slow 4G,SVG,SSR,1567.64,529.64,0.000,219.16
5,Slow 4G,SVG,CSR,1490.67,287.58,0.000,218.36
5,Slow 4G,GIF,SSR,5816.97,354.96,0.000,273.47
5,Slow 4G,GIF,CSR,7346.61,300.33,0.000,275.03
6,Broadband,Lottie,SSR,2414.70,0.00,0.000,1092.43
6,Broadband,Lottie,CSR,1241.14,0.00,0.000,1092.41
6,Broadband,SVG,SSR,2398.69,0.00,0.000,219.12
6,Broadband,SVG,CSR,238.47,0.00,0.000,218.32
6,Broadband,GIF,SSR,2407.52,0.00,0.000,273.42
6,Broadband,GIF,CSR,2244.88,0.00,0.000,274.84
6,Fast 4G,Lottie,SSR,2437.23,121.78,0.000,1092.10
6,Fast 4G,Lottie,CSR,2255.68,202.86,0.000,1092.50
6,Fast 4G,SVG,SSR,792.02,93.22,0.000,219.12
6,Fast 4G,SVG,CSR,644.27,134.27,0.000,218.10
6,Fast 4G,GIF,SSR,1728.18,61.41,0.000,273.44
6,Fast 4G,GIF,CSR,2302.46,0.00,0.000,274.96
6,Slow 4G,Lottie,SSR,3547.64,599.24,0.000,1092.33
6,Slow 4G,Lottie,CSR,1603.61,587.34,0.000,1092.54
6,Slow 4G,SVG,SSR,1510.56,409.12,0.000,219.15
6,Slow 4G,SVG,CSR,1710.06,200.01,0.000,218.34
6,Slow 4G,GIF,SSR,5848.80,263.69,0.000,273.49
6,Slow 4G,GIF,CSR,7440.13,373.69,0.000,275.00
7,Broadband,Lottie,SSR,2455.51,0.00,0.000,1092.43
7,Broadband,Lottie,CSR,2247.22,0.00,0.000,1092.43
7,Broadband,SVG,SSR,2466.18,0.00,0.000,219.12
7,Broadband,SVG,CSR,1237.77,0.00,0.000,218.29
7,Broadband,GIF,SSR,2503.02,0.00,0.000,273.44
7,Broadband,GIF,CSR,997.00,0.00,0.000,274.94
7,Fast 4G,Lottie,SSR,2393.77,174.16,0.000,1092.42
7,Fast 4G,Lottie,CSR,2275.38,68.02,0.000,1092.47
7,Fast 4G,SVG,SSR,2416.07,0.00,0.000,219.16
7,Fast 4G,SVG,CSR,2261.63,0.00,0.000,218.28
7,Fast 4G,GIF,SSR,2428.99,0.00,0.000,273.50
7,Fast 4G,GIF,CSR,2268.98,0.00,0.000,274.80
7,Slow 4G,Lottie,SSR,1684.77,689.18,0.000,1092.29
7,Slow 4G,Lottie,CSR,1745.16,356.38,0.000,1092.55
7,Slow 4G,SVG,SSR,1649.98,349.73,0.000,219.17
7,Slow 4G,SVG,CSR,1461.04,377.99,0.000,218.17
7,Slow 4G,GIF,SSR,5789.30,224.85,0.000,273.53
7,Slow 4G,GIF,CSR,7421.38,372.99,0.000,274.96
8,Broadband,Lottie,SSR,2453.90,0.00,0.000,1092.17
8,Broadband,Lottie,CSR,1170.29,0.00,0.000,1092.48
8,Broadband,SVG,SSR,1391.12,0.00,0.000,219.12
8,Broadband,SVG,CSR,1224.25,0.00,0.000,218.19
8,Broadband,GIF,SSR,2485.34,0.00,0.000,273.48
8,Broadband,GIF,CSR,488.10,0.00,0.000,274.92
8,Fast 4G,Lottie,SSR,2415.52,119.32,0.000,1092.43
8,Fast 4G,Lottie,CSR,2263.06,172.99,0.000,1092.50
8,Fast 4G,SVG,SSR,2426.69,0.00,0.000,219.12
8,Fast 4G,SVG,CSR,2267.56,0.00,0.000,218.26
8,Fast 4G,GIF,SSR,2444.64,0.00,0.000,273.49
8,Fast 4G,GIF,CSR,2345.80,0.00,0.000,274.91
8,Slow 4G,Lottie,SSR,2523.10,576.18,0.000,1092.64
8,Slow 4G,Lottie,CSR,1609.47,458.49,0.000,1092.56
8,Slow 4G,SVG,SSR,1605.25,350.05,0.000,219.15
8,Slow 4G,SVG,CSR,1502.46,282.49,0.000,218.35
8,Slow 4G,GIF,SSR,5790.89,366.31,0.000,273.48
8,Slow 4G,GIF,CSR,7477.52,389.74,0.000,274.99
9,Broadband,Lottie,SSR,2431.60,0.00,0.000,1092.31
9,Broadband,Lottie,CSR,2148.30,0.00,0.000,1092.43
9,Broadband,SVG,SSR,1439.58,0.00,0.000,219.10
